BuildingId,Id,FloorName,GIA,tableDate
9,26,CS2,3350,30/09/2012
32,49,X2,1257.719971,31/12/2015
2,3,BICG,1281.699951,31/08/2015
69,258,RH 1,375.6700134,31/10/2013
32,46,XB,1404.109985,30/06/2016
83,333,BL2,379.730011,31/10/2016
4,45,B2,174.8000031,31/03/2013
28,112,SHW,249,29/02/2012
84,323,OA4,0,31/08/2016
37,115,HWG,1359.410034,30/11/2013
7,32,CW5,885.3699951,30/11/2015
85,330,JP2,3036.23999,31/05/2018
19,71,RG,2028.5,30/04/2018
57,219,MB1,696.0700073,31/03/2016
28,110,SHB,131.1999969,31/03/2013
71,263,HHRB 2,252.0399933,30/04/2012
69,286,RH B,31.06999969,29/02/2016
75,279,qs2,515.2600098,30/04/2013
78,296,SC2,523.210022,31/12/2014
85,330,JP2,3036.23999,31/03/2018
28,112,SHW,249,31/05/2013
9,35,CS6,2078,28/02/2015
52,211,JM3,353.6499939,31/03/2016
19,74,R3,350,30/04/2014
75,278,qs1,829.4299927,31/05/2018
9,207,SB15 ROOF PLANT,267,31/07/2017
52,209,JM1,282,31/08/2012
32,49,X2,1263,31/01/2012
52,208,JMG,353.1799927,30/04/2015
9,14,CS13,398,31/08/2013
76,283,JR5,37.86999893,31/05/2016
78,299,Sc5,1455.880005,30/06/2015
83,320,BLG,966.6699829,31/10/2016
69,286,RH B,31.06999969,28/02/2018
7,29,CW2,980.9199829,31/01/2015
9,10,SB9,811,31/03/2018
75,277,qsg,820.5599976,30/11/2012
9,11,CS10,811,31/10/2013
40,141,LS1,1265.869995,30/06/2015
9,26,CS2,3350,30/04/2015
2,4,BIC1,1257.069946,31/01/2014
76,308,JR7,0,31/07/2014
6,205,CE4PLANT,77.30000305,31/05/2015
9,207,CS15 ROOF PLANT,267,28/02/2014
75,278,qs1,829.4299927,30/06/2017
31,78,T4,1421,31/07/2012
78,300,SC6,0,31/01/2014
19,73,R2,1296.900024,30/06/2012
75,279,qs2,517.1400146,31/12/2015
7,27,SJG,2407.389893,30/04/2018
56,226,UCB2,1453.800049,28/02/2013
24,128,PLB,32.29999924,31/08/2015
7,203,CWB,692.9799805,31/07/2017
31,335,T5 MEZZ,0,28/02/2018
4,43,BG,208.8999939,31/10/2012
78,295,SC1.5,308.8599854,31/07/2014
28,111,SHG,478.6000061,31/10/2013
7,203,CWB,692.9799805,31/10/2016
18,119,RW,890,31/03/2013
78,297,SC3,3088.679932,31/01/2016
6,82,CE2,855.7299805,31/05/2015
7,32,CW5,885.3699951,30/06/2017
85,329,JP1,2984.649902,31/01/2017
71,264,HHRB 3,242.8999939,31/10/2015
80,314,FD1,289.5100098,31/12/2017
75,279,qs2,515.2600098,31/08/2012
9,36,CS7,1437,28/02/2015
31,185,TC,605.5599976,31/05/2013
76,309,JR8,0,31/01/2015
24,127,PL1,23.39999962,30/09/2013
9,9,SB8,873,31/03/2017
76,283,JR5,0,30/04/2014
9,14,SB13,393.8800049,30/06/2017
69,260,RH 1A,36.86000061,31/10/2013
33,52,WG,2605.290039,31/03/2015
9,9,SB8,873,30/04/2018
79,303,PHG,67.20999908,30/09/2016
31,289,T2 MEZZ,30.35000038,30/09/2016
9,15,SB14,263.9299927,30/11/2016
69,258,RH 1,375.6700134,30/09/2015
24,127,PL1,163.5399933,31/07/2016
6,205,HA4PLANT,77.30000305,31/03/2018
78,296,SC2,527.4099731,30/09/2016
31,76,T2,1537.569946,30/04/2017
52,209,JM1,270.8900146,30/04/2017
72,266,BSG,2227.659912,31/01/2015
18,119,RW,890,28/02/2015
